# ACTS Test Suite Generation: Mon Nov 13 18:26:33 PST 2017
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 51
# Maximum number of values per parameter: 10
# Number of configurations: 10926
# Number of extended configurations: 0
# ****************************************************
any,posix,boundary,notBoundary,word_begin,word_end,wordC,notWordC,whitespace,notWhitespace,tab,property,notProperty,nameProperty,digit,notDigit,look_ahead,nlook_ahead,look_behind,nlook_behind,unicodeC,backref,zeroOrOne,zeroOrOne_nested,zeroOrMore,zeroOrMore_nested,oneOrMore,oneOrMore_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,join,list,nList,range,start,end,-w,-c,-i,-e,-f,-x,-t,-v,-BlockSize,syntax,fileType
false,off,false,false,true,true,true,true,false,true,true,binary,off,false,false,false,false,true,true,false,true,true,false,false,false,false,false,true,small,true,small-small,true,medium,true,true,true,true,false,false,true,true,false,true,false,true,false,1,false,off,-G,l
false,off,true,true,false,true,false,false,false,false,false,binary,off,true,true,false,true,false,false,true,true,true,false,true,false,false,true,false,medium,false,small-small,true,small,true,true,true,false,false,false,true,false,true,false,true,true,true,2,true,256,off,l
true,off,true,true,true,false,false,true,true,false,true,binary,off,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,medium,true,small-small,true,small,false,false,false,true,true,false,true,false,true,false,true,true,false,3,true,128,-E,m
true,off,false,false,false,false,true,true,true,true,false,binary,off,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,small,false,small-small,true,large,false,true,true,true,true,true,false,true,false,false,true,false,true,4,true,512,-E,m
false,off,true,false,false,true,false,true,false,true,false,binary,binary,false,true,true,true,true,true,false,false,false,false,false,true,false,true,true,medium,false,small-small,false,medium,false,false,true,true,true,true,true,false,true,false,true,true,false,off,false,off,-E,s
true,off,false,true,false,true,false,false,true,true,true,binary,binary,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,small,true,small-small,false,small,true,true,false,true,true,true,true,false,false,false,false,false,false,1,true,64,off,l
false,off,false,false,true,true,false,false,false,false,true,binary,binary,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,small,false,small-small,false,large,true,false,false,false,false,false,false,true,true,true,false,true,true,2,true,128,-P,m
false,off,false,false,false,false,true,false,true,true,true,binary,binary,true,false,true,false,true,false,false,false,true,false,true,true,false,true,false,large,false,small-small,false,large,false,true,true,true,true,false,false,true,true,true,true,false,true,3,false,256,-G,l
true,off,true,false,false,false,true,false,false,false,false,binary,binary,false,false,false,true,true,true,false,true,true,true,true,false,true,false,true,large,true,small-small,true,small,false,false,true,false,false,true,false,false,false,false,false,false,true,4,false,off,off,m
true,off,true,false,true,true,false,true,false,false,true,binary,enum,false,true,false,true,false,true,false,false,true,true,true,true,true,false,false,large,true,small-small,false,large,false,true,false,false,true,false,false,false,false,true,false,true,false,off,false,512,off,l
true,off,true,true,true,true,true,false,true,false,false,binary,enum,true,true,false,true,false,false,false,false,false,false,false,false,true,false,false,medium,true,small-small,true,medium,false,true,false,false,false,true,true,true,true,true,true,false,true,1,true,128,-G,s
false,off,false,false,false,true,true,true,true,true,false,binary,enum,false,true,true,true,false,false,false,true,false,true,true,false,false,false,true,large,false,small-small,false,small,true,false,true,false,true,true,false,true,true,true,false,true,false,2,true,64,-E,l
false,off,true,false,false,false,false,true,true,true,true,binary,enum,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,small,false,small-small,true,small,true,false,false,true,false,false,false,false,false,true,true,true,true,3,false,off,-P,s
true,off,false,true,true,false,false,true,true,true,false,binary,enum,false,false,true,false,true,true,true,true,true,true,false,false,true,true,false,medium,false,small-small,false,large,true,false,true,false,false,false,true,false,true,false,false,false,false,4,false,256,-P,s
false,off,true,true,false,false,true,true,false,true,true,binary,catalog,false,true,true,false,false,false,true,false,false,true,false,true,false,true,false,small,true,small-small,true,small,true,false,true,false,false,false,false,true,false,false,false,true,false,off,true,128,-G,l
false,off,false,true,false,false,false,false,true,false,true,binary,catalog,false,true,false,false,true,true,false,true,true,false,true,false,false,true,true,large,true,small-small,true,large,false,true,false,true,true,true,true,false,false,false,true,true,true,1,false,512,-P,m
true,off,true,false,true,false,true,false,true,false,false,binary,catalog,true,false,true,false,false,false,false,false,true,false,true,true,true,true,true,small,true,small-small,false,large,true,true,false,true,false,true,true,true,false,false,false,false,false,2,false,off,-E,l
false,off,true,false,true,true,true,false,false,true,true,binary,catalog,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,medium,false,small-small,true,medium,true,false,false,true,false,true,true,true,false,true,true,true,true,3,true,64,off,m
false,off,true,true,true,true,false,true,false,false,true,binary,catalog,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,large,true,small-small,false,medium,true,false,false,true,true,false,false,true,true,false,false,false,true,4,true,256,-G,s
true,off,false,true,true,true,true,false,false,true,false,binary,numeric,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,large,false,small-small,true,small,false,true,true,true,false,false,true,false,true,true,true,false,true,off,false,256,-E,m
false,off,true,false,false,true,true,true,true,false,false,binary,numeric,true,false,true,true,true,true,true,true,false,false,true,true,false,true,false,medium,true,small-small,false,small,false,false,true,true,true,false,true,true,false,true,false,true,false,1,false,512,-G,m
false,off,true,false,false,false,false,true,true,false,false,binary,numeric,true,false,false,false,true,true,false,true,false,true,false,false,true,true,true,large,false,small-small,true,medium,false,false,true,true,true,false,true,false,true,true,true,false,false,2,true,128,off,l
true,off,true,true,true,true,false,false,false,false,false,binary,numeric,true,true,true,true,true,true,false,false,true,false,false,true,true,false,true,large,true,small-small,true,small,false,true,true,false,true,true,false,true,false,false,true,true,false,3,true,64,-P,l
false,off,false,true,false,true,true,false,false,false,true,binary,numeric,true,true,false,true,true,false,true,true,false,true,false,false,true,true,false,medium,true,small-small,false,large,true,true,false,false,false,true,false,true,true,false,false,true,false,4,false,off,-E,l
true,off,true,true,true,false,true,false,false,true,false,enum,off,false,true,true,true,true,true,false,true,true,false,true,false,true,false,false,medium,false,small-small,false,medium,false,false,false,true,false,false,false,false,true,false,false,false,false,off,true,512,-G,m
true,off,false,false,true,false,false,true,false,false,false,enum,off,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,small,false,small-small,true,small,false,true,true,false,true,true,true,true,false,true,true,false,true,1,false,128,-P,s
true,off,true,false,true,false,false,false,true,true,true,enum,off,false,false,false,true,true,false,true,true,false,false,false,true,false,true,true,large,true,small-small,true,large,true,false,false,false,false,true,false,true,true,true,false,false,true,2,false,64,off,m
true,off,false,true,false,false,false,true,false,true,true,enum,off,true,true,false,true,false,true,false,true,true,true,true,false,false,true,false,large,false,small-small,false,medium,true,true,false,false,false,true,true,false,false,true,false,false,true,3,true,off,-E,l
